Airport,Rank
IAG,6.486399276527046E-4
ISN,6.481073677768516E-4
LWS,6.445844048618111E-4
LCK,6.428831247005166E-4
SWO,6.408098053428297E-4
ABR,6.387730329852169E-4
BJI,6.387730329852169E-4
RHI,6.387730329852169E-4
GCK,6.37519586393907E-4
JLN,6.37519586393907E-4
HVN,6.363761346987951E-4
DRT,6.342293674449842E-4
RKS,6.313705715467726E-4
CMX,6.281227515341563E-4
EAU,6.281227515341563E-4
MKG,6.281227515341563E-4
GGG,6.276489295471386E-4
BGM,6.275352321398371E-4
COD,6.249884889665766E-4
EKO,6.247976804898313E-4
BTM,6.247976804898313E-4
PRC,6.228212642452788E-4
CIU,6.220224559719204E-4
IMT,6.220224559719204E-4
GCC,6.217974476764785E-4
PSE,6.161500638143035E-4
SCK,6.158096512662011E-4
ART,6.154211566845638E-4
BRD,6.122895463497945E-4
HIB,6.122895463497945E-4
CDC,6.116065309085115E-4
SHD,6.113197684888654E-4
HOB,6.090352177905051E-4
INL,6.089791105203668E-4
EAR,6.058422412259883E-4
BFF,6.058422412259883E-4
LAR,6.058422412259883E-4
LBF,6.058422412259883E-4
ESC,6.05271878958624E-4
ALO,6.030134947633868E-4
VEL,6.026511999358903E-4
CNY,5.994601586457923E-4
ELM,5.993400457268259E-4
LWB,5.938582628978548E-4
PSM,5.8772313630161E-4
LYH,5.824076118591857E-4
GUC,5.767104564021542E-4
HTS,5.51968284920566E-4
STC,5.434817775139755E-4
CYS,5.355227989773003E-4
OTH,5.259880166865964E-4
OGS,4.978855088653694E-4
HGR,4.961060898545757E-4
OWB,4.898480820251874E-4
ADK,4.873010554790348E-4
OGD,4.861495936160985E-4
SMX,4.8362194292550596E-4
PPG,4.6943726390205045E-4
